timestamp,ssid,bssid,channel,rssi
20/08/2025 13:34,,,,-83
20/08/2025 13:34,,,,-79
20/08/2025 13:34,,,,-83
20/08/2025 13:34,,,,-84
20/08/2025 13:34,,,,-81
20/08/2025 13:34,,,,-80
20/08/2025 13:34,,,,-81
20/08/2025 13:34,,,,-84
20/08/2025 13:34,,,,-78
20/08/2025 13:34,,,,-78
20/08/2025 13:34,,,,-78
20/08/2025 13:34,,,,-77
20/08/2025 13:34,,,,-82
20/08/2025 13:34,,,,-83
20/08/2025 13:34,,,,-80
20/08/2025 13:34,,,,-79
20/08/2025 13:34,,,,-84
20/08/2025 13:34,,,,-82
20/08/2025 13:34,,,,-79
20/08/2025 13:34,,,,-79
20/08/2025 13:34,,,,-79
20/08/2025 13:34,,,,-79
20/08/2025 13:34,,,,-82
20/08/2025 13:34,,,,-78
20/08/2025 13:34,,,,-79
20/08/2025 13:34,,,,-83
20/08/2025 13:34,,,,-78
20/08/2025 13:34,,,,-78
20/08/2025 13:34,,,,-83
20/08/2025 13:34,,,,-83
20/08/2025 13:34,,,,-86
20/08/2025 13:34,,,,-79
20/08/2025 13:34,,,,-80
20/08/2025 13:34,,,,-78
20/08/2025 13:34,,,,-79
20/08/2025 13:34,,,,-79
20/08/2025 13:34,,,,-80
20/08/2025 13:34,,,,-81
20/08/2025 13:34,,,,-82
20/08/2025 13:35,,,,-79
20/08/2025 13:35,,,,-80
20/08/2025 13:35,,,,-84
20/08/2025 13:35,,,,-81
20/08/2025 13:35,,,,-84
20/08/2025 13:35,,,,-78
20/08/2025 13:35,,,,-79
20/08/2025 13:35,,,,-80
20/08/2025 13:35,,,,-84
20/08/2025 13:35,,,,-83
20/08/2025 13:35,,,,-78
20/08/2025 13:35,,,,-78
20/08/2025 13:35,,,,-81
20/08/2025 13:35,,,,-83
20/08/2025 13:35,,,,-78
20/08/2025 13:35,,,,-82
20/08/2025 13:35,,,,-81
20/08/2025 13:35,,,,-80
20/08/2025 13:35,,,,-82
20/08/2025 13:35,,,,-78
20/08/2025 13:35,,,,-80
20/08/2025 13:35,,,,-86
20/08/2025 13:35,,,,-84
20/08/2025 13:35,,,,-79
20/08/2025 13:35,,,,-79
20/08/2025 13:35,,,,-79
20/08/2025 13:35,,,,-82
20/08/2025 13:35,,,,-83
20/08/2025 13:35,,,,-79
20/08/2025 13:35,,,,-78
20/08/2025 13:35,,,,-78
20/08/2025 13:35,,,,-81
20/08/2025 13:35,,,,-80
20/08/2025 13:35,,,,-84
20/08/2025 13:35,,,,-78
20/08/2025 13:35,,,,-83
20/08/2025 13:35,,,,-82
